X,Y,Z,RHO
-40,380,-30.72404286,56.40443
-40,380,-32.55685714,59.01765
-40,380,-34.49721429,61.62947
-40,380,-36.55131429,64.17929
-40,380,-38.72565714,66.60253
-40,380,-41.02702857,68.83784
-40,380,-43.46251429,70.83135
-40,380,-46.03955714,72.53714
-40,380,-48.7659,73.91455
-40,380,-51.64968571,74.92423
-40,380,-54.69944286,75.52516
-40,380,-57.92414286,75.67432
-40,380,-61.33321429,75.32998
-40,380,-64.93664286,74.45839
-40,380,-68.7449,73.04252
-40,380,-72.7691,71.09032
-40,380,-77.02098571,68.63956
-40,380,-81.51295714,65.75705
-40,380,-86.2582,62.53187
-40,380,-91.27067143,59.06425
-40,380,-96.56514286,55.45336
-40,380,-102.1573286,51.78722
-40,380,-108.0638571,48.13706
-40,380,-114.3023714,44.55663
-40,380,-120.8916143,41.08546
-40,380,-127.8514429,37.75398
-40,380,-135.203,34.58859
-40,380,-142.9687143,31.61486
-40,380,-151.1727143,28.85844
-40,380,-159.8402857,26.34377
-40,380,-168.9985714,24.09166
-40,380,-178.6768571,22.1168
-40,380,-188.9057143,20.42619
-40,380,-199.7181429,19.01863
-40,380,-211.1491429,17.88527
-40,380,-223.2357143,17.01074
-40,380,-236.017,16.37427
-40,380,-249.535,15.95059
-40,380,-263.8335714,15.71053
-40,380,-278.9594286,15.62159
-40,380,-294.9621429,15.64905
-40,380,-311.8942857,15.75809
-40,380,-329.8112857,15.91729
-40,380,-348.7724286,16.10296
-40,380,-368.8402857,16.30342
-40,380,-390.0815714,16.52157
-40,380,-412.5667143,16.77465
-40,380,-436.3708571,17.09075
-40,380,-461.5731429,17.50301
-40,380,-488.2577143,18.04288
-40,380,-516.5137143,18.73416
-40,380,-546.4351429,19.58905
-40,380,-578.1217143,20.60719
-40,380,-611.6785714,21.77787
-40,380,-647.217,23.08486
-40,380,-684.8544286,24.51187
-40,380,-724.7154286,26.04582
-40,400,-25.79055714,47.69136
-40,400,-27.33402857,49.97568
-40,400,-28.96802857,52.35584
-40,400,-30.69787143,54.81462
-40,400,-32.52921429,57.32131
-40,400,-34.46798571,59.83127
-40,400,-36.52041429,62.29017
-40,400,-38.69302857,64.64111
-40,400,-40.99265714,66.83134
-40,400,-43.42644286,68.81607
-40,400,-46.00184286,70.55834
-40,400,-48.72665714,72.02553
-40,400,-51.60907143,73.18475
-40,400,-54.65762857,73.99876
-40,400,-57.88134286,74.42454
-40,400,-61.28967143,74.41531
-40,400,-64.89254286,73.92629
-40,400,-68.70045714,72.92308
-40,400,-72.72447143,71.39073
-40,400,-76.97628571,69.34071
-40,400,-81.46824286,66.81337
-40,400,-86.21345714,63.87492
-40,400,-91.22575714,60.60948
-40,400,-96.51985714,57.10873
-40,400,-102.1113,53.46203
-40,400,-108.0166143,49.74944
-40,400,-114.2533,46.03872
-40,400,-120.8399429,42.38599
-40,400,-127.7962714,38.83854
-40,400,-135.1432429,35.43825
-40,400,-142.9031429,32.22386
-40,400,-151.0998571,29.2316
-40,400,-159.7584286,26.49405
-40,400,-168.9058571,24.03817
-40,400,-178.5711429,21.88315
-40,400,-188.7845714,20.03919
-40,400,-199.5787143,18.50734
-40,400,-210.9882857,17.28041
-40,400,-223.0502857,16.34449
-40,400,-235.8034286,15.68043
-40,400,-249.2892857,15.26509
-40,400,-263.5518571,15.07185
-40,400,-278.6375714,15.07085
-40,400,-294.5958571,15.22916
-40,400,-311.4788571,15.51171
-40,400,-329.342,15.88331
-40,400,-348.2438571,16.31203
-40,400,-368.2465714,16.7732
-40,400,-389.4157143,17.25281
-40,400,-411.8212857,17.7488
-40,400,-435.5368571,18.26933
-40,400,-460.6404286,18.82826
-40,400,-487.215,19.4391
-40,400,-515.3478571,20.10929
-40,400,-545.1315714,20.83684
-40,400,-576.6642857,21.61074
-40,400,-610.0494286,22.41507
-40,400,-645.3968571,23.23576
-40,400,-682.8225714,24.06686
-40,400,-722.4494286,24.91348
-40,420,-25.76351429,46.73539
-40,420,-27.30551429,48.93829
-40,420,-28.93785714,51.23347
-40,420,-30.66591429,53.6061
-40,420,-32.49528571,56.02894
-40,420,-34.43192857,58.46194
-40,420,-36.48207143,60.85621
-40,420,-38.65225714,63.16064
-40,420,-40.94934286,65.328
-40,420,-43.38048571,67.31828
-40,420,-45.95315714,69.0982
-40,420,-48.67518571,70.63782
-40,420,-51.55477143,71.9059
-40,420,-54.6005,72.86605
-40,420,-57.82138571,73.47524
-40,420,-61.22687143,73.68548
-40,420,-64.82692857,73.44895
-40,420,-68.63202857,72.72568
-40,420,-72.65321429,71.4918
-40,420,-76.90212857,69.74629
-40,420,-81.3911,67.51384
-40,420,-86.13311429,64.84295
-40,420,-91.14197143,61.79989
-40,420,-96.43222857,58.46044
-40,420,-102.0193571,54.90205
-40,420,-107.9197429,51.1985
-40,420,-114.1507286,47.41787
-40,420,-120.7307714,43.6234
-40,420,-127.6794429,39.87563
-40,420,-135.0175571,36.23427
-40,420,-142.7672429,32.75822
-40,420,-150.9521429,29.50353
-40,420,-159.5971429,26.51987
-40,420,-168.7292857,23.84667
-40,420,-178.3768571,21.51044
-40,420,-188.5701429,19.52378
-40,420,-199.3417143,17.8865
-40,420,-210.7258571,16.58804
-40,420,-222.759,15.61052
-40,420,-235.4801429,14.93157
-40,420,-248.9305714,14.52623
-40,420,-263.154,14.36795
-40,420,-278.1968571,14.42857
-40,420,-294.1082857,14.67794
-40,420,-310.9402857,15.08371
-40,420,-328.7482857,15.61195
-40,420,-347.5902857,16.22903
-40,420,-367.5281429,16.90438
-40,420,-388.627,17.61336
-40,420,-410.9558571,18.33882
-40,420,-434.5877143,19.07041
-40,420,-459.5998571,19.80148
-40,420,-486.0738571,20.52449
-40,420,-514.0961429,21.22715
-40,420,-543.758,21.89123
-40,420,-575.1564286,22.49558
-40,420,-608.3935714,23.02291
-40,420,-643.5782857,23.46793
-40,420,-680.825,23.84319
-40,420,-720.2555714,24.17939
-40,440,-25.73428571,46.83444
-40,440,-27.27474286,49.01878
-40,440,-28.90547143,51.29514
-40,440,-30.63178571,53.65054
-40,440,-32.45932857,56.05968
-40,440,-34.39401429,58.48442
-40,440,-36.44211429,60.87747
-40,440,-38.61014286,63.18882
-40,440,-40.90497143,65.37169
-40,440,-43.33374286,67.38597
-40,440,-45.90395714,69.19797
-40,440,-48.62345714,70.77733
-40,440,-51.50044286,72.09272
-40,440,-54.54347143,73.10807
-40,440,-57.7616,73.7809
-40,440,-61.16425714,74.06372
-40,440,-64.7614,73.9087
-40,440,-68.56351429,73.27477
-40,440,-72.58161429,72.13577
-40,440,-76.82735714,70.48699
-40,440,-81.31302857,68.34833
-40,440,-86.05164286,65.76275
-40,440,-91.05692857,62.79065
-40,440,-96.34345714,59.50214
-40,440,-101.9266286,55.96964
-40,440,-107.8228143,52.263
-40,440,-114.0492857,48.44798
-40,440,-120.6244429,44.58758
-40,440,-127.5677714,40.74452
-40,440,-134.9,36.98304
-40,440,-142.6431714,33.36856
-40,440,-150.8207143,29.96479
-40,440,-159.4578571,26.82923
-40,440,-168.581,24.00827
-40,440,-178.2185714,21.53372
-40,440,-188.4011429,19.42158
-40,440,-199.1608571,17.6731
-40,440,-210.5321429,16.27771
-40,440,-222.5515714,15.21657
-40,440,-235.2578571,14.46591
-40,440,-248.6924286,13.99943
-40,440,-262.899,13.78951
-40,440,-277.924,13.80722
-40,440,-293.8167143,14.02178
-40,440,-310.629,14.39994
-40,440,-328.4162857,14.90639
-40,440,-347.237,15.50544
-40,440,-367.1527143,16.16418
-40,440,-388.229,16.85601
-40,440,-410.5351429,17.56327
-40,440,-434.1442857,18.27746
-40,440,-459.134,18.99656
-40,440,-485.586,19.72038
-40,440,-513.5872857,20.44566
-40,440,-543.2294286,21.16331
-40,440,-574.6095714,21.85938
-40,440,-607.8302857,22.51983
-40,440,-643.0002857,23.13744
-40,440,-680.2347143,23.71762
-40,440,-719.6552857,24.28014
-40,450,-26.01814286,47.51384
-40,450,-27.57472857,49.79451
-40,450,-29.22241429,52.1728
-40,450,-30.96654286,54.63377
-40,450,-32.81282857,57.14968
-40,450,-34.76722857,59.67965
-40,450,-36.83604286,62.17374
-40,450,-39.02587143,64.57972
-40,450,-41.3436,66.84927
-40,450,-43.79645714,68.94137
-40,450,-46.39197143,70.82179
-40,450,-49.13802857,72.45969
-40,450,-52.04288571,73.82316
-40,450,-55.11517143,74.87561
-40,450,-58.36397143,75.57444
-40,450,-61.7988,75.87284
-40,450,-65.42965714,75.72446
-40,450,-69.26707143,75.09023
-40,450,-73.32212857,73.9455
-40,450,-77.60652857,72.28563
-40,450,-82.13258571,70.12822
-40,450,-86.91337143,67.5115
-40,450,-91.96267143,64.48941
-40,450,-97.29507143,61.12523
-40,450,-102.9260429,57.48608
-40,450,-108.8719571,53.63962
-40,450,-115.1501857,49.65365
-40,450,-121.7791571,45.59756
-40,450,-128.7784286,41.54414
-40,450,-136.1688143,37.56975
-40,450,-143.9724286,33.75202
-40,450,-152.2128571,30.16506
-40,450,-160.9152857,26.87348
-40,450,-170.1062857,23.92698
-40,450,-179.8145714,21.35717
-40,450,-190.0704286,19.17717
-40,450,-200.9064286,17.38389
-40,450,-212.357,15.96199
-40,450,-224.4587143,14.88828
-40,450,-237.2507143,14.13566
-40,450,-250.7745714,13.67579
-40,450,-265.0741429,13.48035
-40,450,-280.196,13.52113
-40,450,-296.1897143,13.76915
-40,450,-313.1077143,14.1938
-40,450,-331.0052857,14.7625
-40,450,-349.9411429,15.44146
-40,450,-369.9772857,16.19773
-40,450,-391.1792857,17.00188
-40,450,-413.6164286,17.82999
-40,450,-437.3622857,18.66409
-40,450,-462.494,19.49025
-40,450,-489.0938571,20.29516
-40,450,-517.2484286,21.06287
-40,450,-547.0495714,21.77386
-40,450,-578.5942857,22.40777
-40,450,-611.9852857,22.94973
-40,450,-647.3314286,23.3979
-40,450,-684.7478571,23.76863
-40,450,-724.3565714,24.09641
-40,460,-26.04934286,47.49985
-40,460,-27.60835714,49.74163
-40,460,-29.25862857,52.07804
-40,460,-31.00552857,54.49479
-40,460,-32.85477143,56.96522
-40,460,-34.81231429,59.44983
-40,460,-36.88447143,61.90041
-40,460,-39.07787143,64.2665
-40,460,-41.39941429,66.50157
-40,460,-43.85635714,68.56632
-40,460,-46.45625714,70.42821
-40,460,-49.20704286,72.05831
-40,460,-52.11701429,73.42687
-40,460,-55.19484286,74.4997
-40,460,-58.44965714,75.23666
-40,460,-61.89102857,75.59299
-40,460,-65.529,75.52356
-40,460,-69.37417143,74.98922
-40,460,-73.43767143,73.96367
-40,460,-77.73122857,72.43894
-40,460,-82.26725714,70.4278
-40,460,-87.05881429,67.96239
-40,460,-92.11975714,65.08976
-40,460,-97.46471429,61.86588
-40,460,-103.1091857,58.35061
-40,460,-109.0695714,54.60495
-40,460,-115.3632857,50.69119
-40,460,-122.0087714,46.6751
-40,460,-129.0256,42.6282
-40,460,-136.4346143,38.62836
-40,460,-144.258,34.75731
-40,460,-152.5191429,31.09532
-40,460,-161.2434286,27.7142
-40,460,-170.4574286,24.67094
-40,460,-180.1897143,22.00346
-40,460,-190.4708571,19.72967
-40,460,-201.333,17.84958
-40,460,-212.811,16.34928
-40,460,-224.9412857,15.20578
-40,460,-237.7631429,14.39122
-40,460,-251.3178571,13.87603
-40,460,-265.6494286,13.63048
-40,460,-280.8048571,13.625
-40,460,-296.8332857,13.82956
-40,460,-313.7871429,14.2129
-40,460,-331.7221429,14.74225
-40,460,-350.6968571,15.38412
-40,460,-370.7732857,16.10628
-40,460,-392.0171429,16.88023
-40,460,-414.4978571,17.6831
-40,460,-438.2888571,18.4979
-40,460,-463.4677143,19.31153
-40,460,-490.1167143,20.11133
-40,460,-518.3224286,20.88178
-40,460,-548.1767143,21.60344
-40,460,-579.7771429,22.25563
-40,460,-613.2261429,22.8227
-40,460,-648.6328571,23.30156
-40,460,-686.1125714,23.70703
-40,460,-725.7872857,24.07203
-40,470,-25.73,46.35188
-40,470,-27.27002857,48.52094
-40,470,-28.90021429,50.77912
-40,470,-30.62585714,53.11119
-40,470,-32.45258571,55.49068
-40,470,-34.38632857,57.87997
-40,470,-36.43332857,60.23447
-40,470,-38.60012857,62.50877
-40,470,-40.89357143,64.66196
-40,470,-43.32082857,66.65984
-40,470,-45.8894,68.47342
-40,470,-48.60711429,70.07485
-40,470,-51.48218571,71.43283
-40,470,-54.52318571,72.50929
-40,470,-57.73914286,73.25874
-40,470,-61.13951429,73.63084
-40,470,-64.73422857,73.57586
-40,470,-68.53375714,73.05196
-40,470,-72.5491,72.03245
-40,470,-76.79188571,70.51106
-40,470,-81.27434286,68.50364
-40,470,-86.00942857,66.04584
-40,470,-91.01081429,63.18771
-40,470,-96.293,59.98726
-40,470,-101.8713286,56.50523
-40,470,-107.7620429,52.80259
-40,470,-113.9823571,48.94108
-40,470,-120.5505571,44.98576
-40,470,-127.4860857,41.00746
-40,470,-134.8095429,37.08339
-40,470,-142.5429143,33.29441
-40,470,-150.7095714,29.71959
-40,470,-159.3344286,26.42911
-40,470,-168.4441429,23.47793
-40,470,-178.0668571,20.90187
-40,470,-188.2328571,18.71694
-40,470,-198.9741429,16.9218
-40,470,-210.3251429,15.50202
-40,470,-222.3222857,14.435
-40,470,-235.0041429,13.69429
-40,470,-248.4121429,13.25268
-40,470,-262.5898571,13.08362
-40,470,-277.5838571,13.16132
-40,470,-293.4432857,13.45979
-40,470,-310.2204286,13.95145
-40,470,-327.9702857,14.60628
-40,470,-346.7512857,15.39171
-40,470,-366.6251429,16.27392
-40,470,-387.6568571,17.21968
-40,470,-409.9155714,18.19806
-40,470,-433.474,19.18072
-40,470,-458.4088571,20.14047
-40,470,-484.8017143,21.0489
-40,470,-512.7385714,21.87469
-40,470,-542.3102857,22.58515
-40,470,-573.6132857,23.15175
-40,470,-606.7494286,23.55891
-40,470,-641.8265714,23.81254
-40,470,-678.959,23.94413
-40,470,-718.268,24.00779
-40,480,-26.0273,48.58545
-40,480,-27.58434286,50.91321
-40,480,-29.23244286,53.34075
-40,480,-30.97697143,55.85321
-40,480,-32.82361429,58.4227
-40,480,-34.77837143,61.0079
-40,480,-36.84751429,63.55819
-40,480,-39.03767143,66.02055
-40,480,-41.35572857,68.34594
-40,480,-43.80892857,70.49268
-40,480,-46.4048,72.426
-40,480,-49.15124286,74.11451
-40,480,-52.0565,75.52555
-40,480,-55.12921429,76.6213
-40,480,-58.37842857,77.35727
-40,480,-61.81367143,77.684
-40,480,-65.44494286,77.55197
-40,480,-69.28272857,76.9188
-40,480,-73.33814286,75.75711
-40,480,-77.62284286,74.06064
-40,480,-82.14917143,71.84684
-40,480,-86.93017143,69.15503
-40,480,-91.97962857,66.04091
-40,480,-97.31212857,62.56949
-40,480,-102.9431429,58.80892
-40,480,-108.8890143,54.8271
-40,480,-115.1670857,50.69164
-40,480,-121.7957286,46.47222
-40,480,-128.7944714,42.24326
-40,480,-136.1840429,38.0847
-40,480,-143.9865714,34.07973
-40,480,-152.2255714,30.30919
-40,480,-160.9261429,26.84445
-40,480,-170.1152857,23.74076
-40,480,-179.8214286,21.0331
-40,480,-190.0751429,18.73545
-40,480,-200.9092857,16.84327
-40,480,-212.3582857,15.33806
-40,480,-224.4591429,14.19246
-40,480,-237.2512857,13.37482
-40,480,-250.7761429,12.85227
-40,480,-265.0781429,12.59233
-40,480,-280.204,12.56299
-40,480,-296.2034286,12.73203
-40,480,-313.1292857,13.06624
-40,480,-331.0371429,13.53149
-40,480,-349.9862857,14.09416
-40,480,-370.0395714,14.72407
-40,480,-391.2634286,15.39788
-40,480,-413.728,16.10189
-40,480,-437.508,16.83248
-40,480,-462.6821429,17.59391
-40,480,-489.334,18.39373
-40,480,-517.5517143,19.23774
-40,480,-547.4284286,20.12612
-40,480,-579.0628571,21.05267
-40,480,-612.5591429,22.00751
-40,480,-648.0272857,22.98227
-40,480,-685.584,23.97548
-40,480,-725.352,24.99544
-40,490,-27.1634,46.20057
-40,490,-28.7838,48.66722
-40,490,-30.49861429,51.25032
-40,490,-32.31342857,53.93208
-40,490,-34.23408571,56.68048
-40,490,-36.26677143,59.44892
-40,490,-38.41795714,62.18073
-40,490,-40.69441429,64.81666
-40,490,-43.10318571,67.30176
-40,490,-45.65167143,69.58917
-40,490,-48.34752857,71.63955
-40,490,-51.1988,73.41753
-40,490,-54.21387143,74.8871
-40,490,-57.40154286,76.00815
-40,490,-60.77105714,76.73557
-40,490,-64.33212857,77.02141
-40,490,-68.09497143,76.81985
-40,490,-72.07034286,76.09391
-40,490,-76.26957143,74.82224
-40,490,-80.70455714,73.00406
-40,490,-85.38782857,70.66101
-40,490,-90.33258571,67.83519
-40,490,-95.55272857,64.58447
-40,490,-101.0629,60.97654
-40,490,-106.8786714,57.08389
-40,490,-113.0165143,52.98096
-40,490,-119.494,48.74385
-40,490,-126.3298857,44.45146
-40,490,-133.5442,40.18645
-40,490,-141.1583429,36.03438
-40,490,-149.1951429,32.08012
-40,490,-157.679,28.40206
-40,490,-166.6357143,25.06567
-40,490,-176.0925714,22.11835
-40,490,-186.0785714,19.58717
-40,490,-196.6242857,17.47998
-40,490,-207.762,15.7893
-40,490,-219.526,14.49798
-40,490,-231.9527143,13.58507
-40,490,-245.081,13.03117
-40,490,-258.9522857,12.82242
-40,490,-273.6105714,12.95309
-40,490,-289.1034286,13.4266
-40,490,-305.4807143,14.25507
-40,490,-322.7958571,15.45698
-40,490,-341.1051429,17.0526
-40,490,-360.468,19.05628
-40,490,-380.9464286,21.46421
-40,490,-402.6054286,24.23695
-40,490,-425.5132857,27.27652
-40,490,-449.7411429,30.40213
-40,490,-475.3632857,33.33442
-40,490,-502.4581429,35.70613
-40,490,-531.1078571,37.11846
-40,490,-561.3998571,37.2475
-40,490,-593.4264286,35.96921
-40,490,-627.2855714,33.43695
-40,490,-663.0818571,30.05273
-40,490,-700.9271429,26.33667
-40,490,-740.9401429,22.76792
-40,500,-27.16728571,46.20492
-40,500,-28.78797143,48.66857
-40,500,-30.50311429,51.24832
-40,500,-32.31825714,53.92633
-40,500,-34.23928571,56.67063
-40,500,-36.27235714,59.43469
-40,500,-38.42394286,62.162
-40,500,-40.70082857,64.79349
-40,500,-43.11007143,67.27449
-40,500,-45.65904286,69.55839
-40,500,-48.35544286,71.60613
-40,500,-51.20727143,73.38265
-40,500,-54.22295714,74.85224
-40,500,-57.41128571,75.9751
-40,500,-60.78151429,76.70639
-40,500,-64.34335714,76.99838
-40,500,-68.10702857,76.80534
-40,500,-72.08331429,76.09025
-40,500,-76.28351429,74.8315
-40,500,-80.71957143,73.02789
-40,500,-85.404,70.70045
-40,500,-90.35,67.89056
-40,500,-95.57148571,64.65527
-40,500,-101.0831143,61.06144
-40,500,-106.9004286,57.18077
-40,500,-113.0399286,53.08704
-40,500,-119.5191857,48.85585
-40,500,-126.3569571,44.56586
-40,500,-133.5732714,40.29975
-40,500,-141.1895429,36.1434
-40,500,-149.2285714,32.18224
-40,500,-157.7148571,28.49539
-40,500,-166.674,25.14911
-40,500,-176.1334286,22.19151
-40,500,-186.1221429,19.6503
-40,500,-196.6707143,17.53373
-40,500,-207.8112857,15.83458
-40,500,-219.5784286,14.53577
-40,500,-232.0084286,13.61634
-40,500,-245.14,13.05674
-40,500,-259.0147143,12.84294
-40,500,-273.6768571,12.96902
-40,500,-289.1732857,13.43819
-40,500,-305.5545714,14.26238
-40,500,-322.8738571,15.4599
-40,500,-341.1874286,17.05088
-40,500,-360.5547143,19.04959
-40,500,-381.0377143,21.45224
-40,500,-402.7015714,24.21951
-40,500,-425.6144286,27.25375
-40,500,-449.8474286,30.37464
-40,500,-475.475,33.3035
-40,500,-502.5754286,35.67374
-40,500,-531.2311429,37.0871
-40,500,-561.5294286,37.21973
-40,500,-593.5622857,35.94707
-40,500,-627.4281429,33.42148
-40,500,-663.2317143,30.04388
-40,500,-701.0842857,26.33357
-40,500,-741.1051429,22.76934
-40,510,-25.50352857,47.25517
-40,510,-27.03058571,49.43491
-40,510,-28.64705714,51.70262
-40,510,-30.35818571,54.04259
-40,510,-32.16952857,56.42763
-40,510,-34.0869,58.81909
-40,510,-36.11642857,61.17105
-40,510,-38.26454286,63.43676
-40,510,-40.53795714,65.57417
-40,510,-42.94371429,67.54841
-40,510,-45.48915714,69.33045
-40,510,-48.18197143,70.89301
-40,510,-51.03021429,72.20565
-40,510,-54.04232857,73.23107
-40,510,-57.22721429,73.92408
-40,510,-60.59415714,74.23399
-40,510,-64.15301429,74.11035
-40,510,-67.91412857,73.51089
-40,510,-71.8884,72.40953
-40,510,-76.0874,70.80235
-40,510,-80.5233,68.70933
-40,510,-85.20902857,66.17132
-40,510,-90.15822857,63.24343
-40,510,-95.38537143,59.98708
-40,510,-100.9057429,56.46357
-40,510,-106.7355571,52.73121
-40,510,-112.8919286,48.84642
-40,510,-119.3930429,44.86759
-40,510,-126.2581714,40.85945
-40,510,-133.5078143,36.89526
-40,510,-141.1638286,33.05507
-40,510,-149.2494286,29.42012
-40,510,-157.7897143,26.06474
-40,510,-166.811,23.04852
-40,510,-176.3418571,20.41093
-40,510,-186.4125714,18.16982
-40,510,-197.0557143,16.32355
-40,510,-208.3055714,14.85551
-40,510,-220.199,13.73945
-40,510,-232.7751429,12.94431
-40,510,-246.0751429,12.43752
-40,510,-260.1432857,12.18672
-40,510,-275.0262857,12.16004
-40,510,-290.7732857,12.32544
-40,510,-307.4371429,12.65014
-40,510,-325.0735714,13.10086
-40,510,-343.7417143,13.6454
-40,510,-363.5042857,14.25569
-40,510,-384.4277143,14.91136
-40,510,-406.5827143,15.60233
-40,510,-430.0437143,16.32928
-40,510,-454.8898571,17.10113
-40,510,-481.2047143,17.93037
-40,510,-509.0767143,18.82764
-40,510,-538.599,19.79759
-40,510,-569.8702857,20.83747
-40,510,-602.9947143,21.93923
-40,510,-638.0821429,23.09434
-40,510,-675.249,24.29906
-40,510,-714.6177143,25.55766
-40,520,-26.20937143,49.26507
-40,520,-27.77675714,51.67768
-40,520,-29.43577143,54.1954
-40,520,-31.19178571,56.8021
-40,520,-33.05048571,59.46825
-40,520,-35.01781429,62.15049
-40,520,-37.10002857,64.79587
-40,520,-39.30367143,67.34892
-40,520,-41.63558571,69.75805
-40,520,-44.10291429,71.97905
-40,520,-46.71311429,73.97449
-40,520,-49.474,75.71032
-40,520,-52.39372857,77.1513
-40,520,-55.48088571,78.25739
-40,520,-58.74445714,78.9825
-40,520,-62.1939,79.27641
-40,520,-65.83917143,79.0898
-40,520,-69.69078571,78.38147
-40,520,-73.75978571,77.12611
-40,520,-78.05788571,75.32035
-40,520,-82.59744286,72.9852
-40,520,-87.39152857,70.16405
-40,520,-92.45397143,66.91682
-40,520,-97.79942857,63.31257
-40,520,-103.4434143,59.42279
-40,520,-109.4023143,55.31771
-40,520,-115.6935143,51.06612
-40,520,-122.3354571,46.7379
-40,520,-129.3476857,42.40715
-40,520,-136.751,38.1536
-40,520,-144.5675714,34.06067
-40,520,-152.821,30.21015
-40,520,-161.5364286,26.67471
-40,520,-170.7408571,23.5108
-40,520,-180.463,20.75406
-40,520,-190.7335714,18.41826
-40,520,-201.5855714,16.49784
-40,520,-213.0535714,14.97268
-40,520,-225.175,13.81355
-40,520,-237.9894286,12.98706
-40,520,-251.5387143,12.45901
-40,520,-265.8674286,12.19612
-40,520,-281.0227143,12.16621
-40,520,-297.0548571,12.33745
-40,520,-314.0168571,12.67757
-40,520,-331.9651429,13.15364
-40,520,-350.9594286,13.73338
-40,520,-371.0627143,14.38768
-40,520,-392.3422857,15.09396
-40,520,-414.869,15.83858
-40,520,-438.718,16.61731
-40,520,-463.9688571,17.43305
-40,520,-490.7054286,18.29133
